year,industry,ai_adoption_rate_pct,ai_function,region,sample_size,yoy_growth_pct,ai_spending_usd_bn,use_case_category,pilot_to_prod_rate_pct,barrier_type
2019,Energy & Materials,20,Process Optimization,North America,152,,,,,
2020,Energy & Materials,25,Process Optimization,North America,155,25.0,,,,
2021,Energy & Materials,29,Process Optimization,North America,158,16.0,5.8,Predictive Analytics,35.0,Legacy Systems
2022,Energy & Materials,33,Process Optimization,North America,162,13.79,8.0,Predictive Analytics,37.0,Data Quality
2023,Energy & Materials,36,Process Optimization,North America,152,9.09,11.2,Predictive Analytics,39.0,Data Quality
2024,Energy & Materials,48,Process Optimization,North America,160,33.33,16.5,Predictive Analytics,42.0,Talent Gap
2025,Energy & Materials,60,Process Optimization,North America,165,25.0,23.5,Predictive Analytics,44.0,Talent Gap
2019,Financial Services,40,Algorithmic Trading,Asia-Pacific,248,,,,,
2020,Financial Services,45,Algorithmic Trading,Asia-Pacific,260,12.5,,,,
2021,Financial Services,50,Algorithmic Trading,Asia-Pacific,265,11.11,18.2,NLP,52.0,Data Quality
2021,Financial Services,50,Algorithmic Trading,Asia-Pacific,265,11.11,9.8,NLP,48.0,GDPR Compliance
2021,Financial Services,50,Algorithmic Trading,Asia-Pacific,265,11.11,8.5,NLP,45.0,Data Quality
2021,Financial Services,50,Algorithmic Trading,Asia-Pacific,265,11.11,2.8,NLP,22.0,Infrastructure
2022,Financial Services,55,Algorithmic Trading,Asia-Pacific,270,10.0,24.5,NLP,54.0,Data Quality
2022,Financial Services,55,Algorithmic Trading,Asia-Pacific,270,10.0,13.2,NLP,50.0,GDPR Compliance
2022,Financial Services,55,Algorithmic Trading,Asia-Pacific,270,10.0,11.8,NLP,47.0,Data Quality
2022,Financial Services,55,Algorithmic Trading,Asia-Pacific,270,10.0,4.0,NLP,25.0,Infrastructure
2023,Financial Services,58,Algorithmic Trading,Asia-Pacific,248,5.45,32.1,NLP,56.0,Regulatory Compliance
2023,Financial Services,58,Algorithmic Trading,Asia-Pacific,248,5.45,17.8,NLP,52.0,Regulatory Compliance
2023,Financial Services,58,Algorithmic Trading,Asia-Pacific,248,5.45,16.5,NLP,49.0,Regulatory Compliance
2023,Financial Services,58,Algorithmic Trading,Asia-Pacific,248,5.45,5.8,NLP,28.0,Data Quality
2024,Financial Services,65,Algorithmic Trading,Asia-Pacific,260,12.07,46.8,NLP,58.0,Talent Gap
2024,Financial Services,65,Algorithmic Trading,Asia-Pacific,260,12.07,25.5,NLP,54.0,Regulatory Compliance
2024,Financial Services,65,Algorithmic Trading,Asia-Pacific,260,12.07,24.0,NLP,51.0,Regulatory Compliance
2024,Financial Services,65,Algorithmic Trading,Asia-Pacific,260,12.07,8.8,NLP,31.0,Data Quality
2025,Financial Services,76,Algorithmic Trading,Asia-Pacific,265,16.92,65.0,NLP,60.0,Talent Gap
2025,Financial Services,76,Algorithmic Trading,Asia-Pacific,265,16.92,36.0,NLP,56.0,Regulatory Compliance
2025,Financial Services,76,Algorithmic Trading,Asia-Pacific,265,16.92,34.5,NLP,53.0,Regulatory Compliance
2025,Financial Services,76,Algorithmic Trading,Asia-Pacific,265,16.92,13.0,NLP,34.0,Data Quality
2023,Financial Services,52,Fraud Detection,Developing Markets,160,,32.1,NLP,56.0,Regulatory Compliance
2023,Financial Services,52,Fraud Detection,Developing Markets,160,,17.8,NLP,52.0,Regulatory Compliance
2023,Financial Services,52,Fraud Detection,Developing Markets,160,,16.5,NLP,49.0,Regulatory Compliance
2023,Financial Services,52,Fraud Detection,Developing Markets,160,,5.8,NLP,28.0,Data Quality
2024,Financial Services,60,Fraud Detection,Developing Markets,170,15.38,46.8,NLP,58.0,Talent Gap
2024,Financial Services,60,Fraud Detection,Developing Markets,170,15.38,25.5,NLP,54.0,Regulatory Compliance
2024,Financial Services,60,Fraud Detection,Developing Markets,170,15.38,24.0,NLP,51.0,Regulatory Compliance
2024,Financial Services,60,Fraud Detection,Developing Markets,170,15.38,8.8,NLP,31.0,Data Quality
2019,Financial Services,42,Fraud Detection,Europe,248,,,,,
2020,Financial Services,47,Fraud Detection,Europe,260,11.9,,,,
2021,Financial Services,52,Fraud Detection,Europe,265,10.64,18.2,NLP,52.0,Data Quality
2021,Financial Services,52,Fraud Detection,Europe,265,10.64,9.8,NLP,48.0,GDPR Compliance
2021,Financial Services,52,Fraud Detection,Europe,265,10.64,8.5,NLP,45.0,Data Quality
2021,Financial Services,52,Fraud Detection,Europe,265,10.64,2.8,NLP,22.0,Infrastructure
2022,Financial Services,57,Fraud Detection,Europe,270,9.62,24.5,NLP,54.0,Data Quality
2022,Financial Services,57,Fraud Detection,Europe,270,9.62,13.2,NLP,50.0,GDPR Compliance
2022,Financial Services,57,Fraud Detection,Europe,270,9.62,11.8,NLP,47.0,Data Quality
2022,Financial Services,57,Fraud Detection,Europe,270,9.62,4.0,NLP,25.0,Infrastructure
2023,Financial Services,60,Fraud Detection,Europe,248,5.26,32.1,NLP,56.0,Regulatory Compliance
2023,Financial Services,60,Fraud Detection,Europe,248,5.26,17.8,NLP,52.0,Regulatory Compliance
2023,Financial Services,60,Fraud Detection,Europe,248,5.26,16.5,NLP,49.0,Regulatory Compliance
2023,Financial Services,60,Fraud Detection,Europe,248,5.26,5.8,NLP,28.0,Data Quality
2024,Financial Services,68,Fraud Detection,Europe,260,13.33,46.8,NLP,58.0,Talent Gap
2024,Financial Services,68,Fraud Detection,Europe,260,13.33,25.5,NLP,54.0,Regulatory Compliance
2024,Financial Services,68,Fraud Detection,Europe,260,13.33,24.0,NLP,51.0,Regulatory Compliance
2024,Financial Services,68,Fraud Detection,Europe,260,13.33,8.8,NLP,31.0,Data Quality
2025,Financial Services,78,Fraud Detection,Europe,265,14.71,65.0,NLP,60.0,Talent Gap
2025,Financial Services,78,Fraud Detection,Europe,265,14.71,36.0,NLP,56.0,Regulatory Compliance
2025,Financial Services,78,Fraud Detection,Europe,265,14.71,34.5,NLP,53.0,Regulatory Compliance
