country,country_code,region,year,ai_investment_usd_bn,patents_filed,research_papers,notable_ml_models,ai_startups_funded,income_group,is_g20_member,ai_readiness_score,policy_count,national_strategy_adopted,ai_talent_score,market_revenue_usd_bn,growth_rate_yoy_pct,cagr_5yr_pct
United States,USA,North America,2019,26.6,35141,28400,22,580,High Income,1,88.2,8,1,92.5,15.8,28.5,32.1
United States,USA,North America,2020,23.6,38200,31200,28,510,High Income,1,89.5,12,1,93.0,20.1,27.2,32.1
United States,USA,North America,2021,52.9,42100,34800,40,835,High Income,1,91.0,18,1,93.8,42.3,110.4,32.1
United States,USA,North America,2022,47.4,45300,38200,54,1082,High Income,1,92.4,25,1,94.5,62.5,47.8,32.1
United States,USA,North America,2023,67.2,48200,41500,61,1205,High Income,1,93.8,34,1,95.1,91.2,45.9,32.1
United States,USA,North America,2024,109.1,52000,44200,40,980,High Income,1,95.0,59,1,95.8,148.0,62.3,32.1
China,CHN,Asia-Pacific,2019,6.8,58000,42300,8,380,Upper Middle Income,1,72.1,15,1,76.2,6.1,42.1,38.5
China,CHN,Asia-Pacific,2020,9.9,65200,47800,10,410,Upper Middle Income,1,74.5,22,1,77.8,8.2,34.4,38.5
China,CHN,Asia-Pacific,2021,17.2,71300,52400,13,490,Upper Middle Income,1,77.2,30,1,79.4,15.6,90.2,38.5
China,CHN,Asia-Pacific,2022,13.4,78200,57100,15,520,Upper Middle Income,1,79.8,38,1,81.0,20.9,34.0,38.5
China,CHN,Asia-Pacific,2023,7.8,86400,62300,15,485,Upper Middle Income,1,82.1,48,1,82.6,27.4,31.1,38.5
China,CHN,Asia-Pacific,2024,9.3,92000,66800,15,460,Upper Middle Income,1,84.5,62,1,84.2,38.5,40.5,38.5
United Kingdom,GBR,Europe,2019,1.7,4820,8200,5,185,High Income,1,82.4,6,1,85.5,2.1,26.8,30.2
United Kingdom,GBR,Europe,2020,2.0,5100,8900,6,192,High Income,1,83.8,10,1,86.2,2.8,33.3,30.2
United Kingdom,GBR,Europe,2021,3.4,5450,9600,8,220,High Income,1,85.2,16,1,87.0,5.4,92.9,30.2
United Kingdom,GBR,Europe,2022,4.4,5820,10400,9,248,High Income,1,86.5,22,1,87.8,7.8,44.4,30.2
United Kingdom,GBR,Europe,2023,3.8,6200,11200,7,240,High Income,1,87.9,30,1,88.5,10.2,30.8,30.2
United Kingdom,GBR,Europe,2024,4.5,6600,12000,6,230,High Income,1,89.2,42,1,89.2,14.8,45.1,30.2
Germany,DEU,Europe,2019,0.8,3900,7100,3,95,High Income,1,79.8,5,1,82.4,1.4,24.5,28.8
Germany,DEU,Europe,2020,1.1,4200,7600,4,102,High Income,1,81.2,8,1,83.2,1.9,35.7,28.8
Germany,DEU,Europe,2021,1.9,4600,8200,5,125,High Income,1,82.8,13,1,84.0,3.5,84.2,28.8
Germany,DEU,Europe,2022,2.2,4900,8900,6,140,High Income,1,84.2,18,1,84.8,5.1,45.7,28.8
Germany,DEU,Europe,2023,1.9,5200,9600,5,135,High Income,1,85.6,25,1,85.5,6.8,33.3,28.8
Germany,DEU,Europe,2024,2.3,5600,10300,5,130,High Income,1,87.0,35,1,86.2,9.8,44.1,28.8
France,FRA,Europe,2019,0.7,3100,6200,3,88,High Income,1,77.2,6,1,80.1,0.9,22.1,27.4
France,FRA,Europe,2020,0.9,3350,6700,3,95,High Income,1,78.8,9,1,81.0,1.2,33.3,27.4
France,FRA,Europe,2021,1.5,3650,7300,4,112,High Income,1,80.5,14,1,81.9,2.2,83.3,27.4
France,FRA,Europe,2022,1.7,3900,7900,4,125,High Income,1,82.1,20,1,82.8,3.2,45.5,27.4
France,FRA,Europe,2023,1.4,4200,8600,4,120,High Income,1,83.8,28,1,83.6,4.2,31.3,27.4
France,FRA,Europe,2024,1.8,4500,9200,4,118,High Income,1,85.4,40,1,84.5,6.1,45.2,27.4
Canada,CAN,North America,2019,0.9,2800,5800,4,110,High Income,1,81.5,5,1,84.2,0.8,28.1,32.8
Canada,CAN,North America,2020,1.2,3000,6300,5,118,High Income,1,82.9,8,1,85.0,1.1,37.5,32.8
Canada,CAN,North America,2021,2.1,3250,6900,6,145,High Income,1,84.4,12,1,85.8,2.1,90.9,32.8
Canada,CAN,North America,2022,2.5,3500,7500,7,162,High Income,1,85.8,17,1,86.6,3.1,47.6,32.8
Canada,CAN,North America,2023,2.1,3800,8200,6,155,High Income,1,87.2,24,1,87.4,4.2,35.5,32.8
Canada,CAN,North America,2024,2.4,4100,8800,6,148,High Income,1,88.6,34,1,88.2,6.2,47.6,32.8
India,IND,Asia-Pacific,2019,0.4,2200,6800,2,180,Lower Middle Income,1,52.4,3,1,58.2,0.6,48.2,45.2
India,IND,Asia-Pacific,2020,0.6,2600,7800,3,210,Lower Middle Income,1,55.1,5,1,60.5,0.9,50.0,45.2
India,IND,Asia-Pacific,2021,1.2,3100,9200,4,280,Lower Middle Income,1,58.2,8,1,63.0,1.8,100.0,45.2
India,IND,Asia-Pacific,2022,1.8,3600,10800,5,320,Lower Middle Income,1,61.5,12,1,65.5,2.9,61.1,45.2
India,IND,Asia-Pacific,2023,2.4,4200,12500,5,380,Lower Middle Income,1,64.8,18,1,68.0,4.1,41.4,45.2
India,IND,Asia-Pacific,2024,3.1,4900,14200,6,420,Lower Middle Income,1,68.2,28,1,70.5,6.8,65.9,45.2
Israel,ISR,Middle East,2019,1.8,1200,2800,4,320,High Income,0,76.8,4,1,80.5,0.8,32.1,36.8
Israel,ISR,Middle East,2020,2.1,1350,3100,5,348,High Income,0,78.5,7,1,81.5,1.0,25.0,36.8
Israel,ISR,Middle East,2021,2.9,1520,3500,6,390,High Income,0,80.2,11,1,82.5,2.0,100.0,36.8
Israel,ISR,Middle East,2022,3.2,1700,3900,7,415,High Income,0,81.9,16,1,83.5,2.8,40.0,36.8
Israel,ISR,Middle East,2023,2.8,1850,4200,7,395,High Income,0,83.6,22,1,84.5,3.5,25.0,36.8
Israel,ISR,Middle East,2024,3.5,2000,4600,7,380,High Income,0,85.2,31,1,85.5,5.1,45.7,36.8
South Korea,KOR,Asia-Pacific,2019,0.5,8200,5600,3,120,High Income,1,78.2,6,1,81.5,0.5,32.5,34.2
South Korea,KOR,Asia-Pacific,2020,0.7,9100,6200,4,135,High Income,1,80.0,9,1,82.4,0.7,40.0,34.2
South Korea,KOR,Asia-Pacific,2021,1.1,10200,7000,5,158,High Income,1,81.8,14,1,83.2,1.4,100.0,34.2
South Korea,KOR,Asia-Pacific,2022,1.3,11400,7800,6,172,High Income,1,83.5,20,1,84.0,2.0,42.9,34.2
South Korea,KOR,Asia-Pacific,2023,1.2,12800,8700,6,165,High Income,1,85.2,28,1,84.8,2.8,40.0,34.2
South Korea,KOR,Asia-Pacific,2024,1.6,14200,9600,6,158,High Income,1,86.8,38,1,85.6,4.1,46.4,34.2
Singapore,SGP,Asia-Pacific,2019,0.4,450,1200,2,85,High Income,0,84.2,5,1,87.5,0.5,38.5,41.2
Singapore,SGP,Asia-Pacific,2020,0.6,510,1400,3,98,High Income,0,85.8,8,1,88.2,0.7,40.0,41.2
